Date,bdl_Open,bdl_High,bdl_Low,bdl_Close,bdl_Adj Close,bdl_Volume,hal_Open,hal_High,hal_Low,hal_Close,hal_Adj Close,hal_Volume,zentec_Open,zentec_High,zentec_Low,zentec_Close,zentec_Adj Close,zentec_Volume,,,
02-04-2018,399,402,386.25,390.75,348.683014,486346,1127.699951,1155,1100.050049,1102.849976,939.665161,463619,115,121.949997,113.849998,118.800003,117.198601,680990,,,
09-04-2018,392,393,372.299988,375.700012,335.253265,338510,1100.5,1150,1080.099976,1123.050049,956.876221,352724,118.599998,127.900002,117.050003,123.849998,122.180527,1132548,,,
16-04-2018,373,421.899994,373,415.600006,370.857788,1818906,1125,1164,1118,1125.550049,959.006348,324581,121.5,128.800003,118.800003,122.849998,121.194008,940794,,,
23-04-2018,415.799988,421,403,405,361.398956,358349,1132,1149,1122,1125.800049,959.219238,137822,121.599998,131.399994,120,121.849998,120.207481,1073345,,,
30-04-2018,400.549988,411.399994,386.350006,388.850006,346.98761,172209,1134.400024,1134.400024,1089.199951,1093.550049,931.741211,68802,122.900002,124.349998,113.199997,115.599998,114.041733,443155,,,
07-05-2018,388,397,385,388.049988,346.273712,451576,1090.5,1122.050049,1071.150024,1083.199951,922.922668,72328,116.550003,123,112.199997,118.849998,117.247925,509612,,,
14-05-2018,386,389.049988,370,370.899994,330.970062,138482,1082,1087.949951,1030.050049,1032.849976,880.022766,157261,120,120.800003,108.550003,109.699997,108.22126,494522,,,
21-05-2018,371,384.549988,370,383.200012,341.945862,136123,1031.949951,1031.949951,1005.049988,1022.75,871.417175,72650,111,114.800003,102.099998,105.75,104.324509,443650,,,
28-05-2018,380.100006,425,380.100006,401.200012,358.008057,455276,1020,1098.949951,1011,1029.849976,877.466675,473853,105,111,95.199997,99.449997,98.109421,649405,,,
04-06-2018,403,405,384.799988,398.200012,355.330994,200970,1040,1040.050049,987.5,990.450012,843.896545,65197,99.900002,100,81.650002,86.900002,85.728607,991741,,,
